date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:43	6754/6754	---M--	200	added ('OK')	image/png	etag:%225f29e2d3-1a62%22	https://www.gob.pe/assets/favicons/apple-icon-144x144-b549ad126518a15cb6392af045464b3bebfedad0d646a227add2f17dd9659a62.png	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/assets/favicons/apple-icon-144x144-b549ad126518a15cb6392af045464b3bebfedad0d646a227add2f17dd9659a62.png	(from https://www.gob.pe/coronavirus)
08:54:43	6983/6983	---M--	200	added ('OK')	image/png	etag:%225f29e2d3-1b47%22	https://www.gob.pe/assets/favicons/apple-icon-152x152-40aa09e34612202fdfdb351644c342db21244591929c8baa794eb775e7eacd6e.png	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/assets/favicons/apple-icon-152x152-40aa09e34612202fdfdb351644c342db21244591929c8baa794eb775e7eacd6e.png	(from https://www.gob.pe/coronavirus)
08:54:44	8274/8274	---M--	200	added ('OK')	image/png	etag:%225f29e2d3-2052%22	https://www.gob.pe/assets/favicons/apple-icon-180x180-55bc650e5a1780ec2c982f237821f7ab18cd0491c07c9cc972ca51fdd6310f47.png	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/assets/favicons/apple-icon-180x180-55bc650e5a1780ec2c982f237821f7ab18cd0491c07c9cc972ca51fdd6310f47.png	(from https://www.gob.pe/coronavirus)
08:54:44	8950/8950	---M--	200	added ('OK')	image/png	etag:%225f29e2d3-22f6%22	https://www.gob.pe/assets/favicons/android-icon-192x192-75626aba0d0a3865276a1848bd01f3af892dbeccf417aa1c078754d3584d8764.png	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/assets/favicons/android-icon-192x192-75626aba0d0a3865276a1848bd01f3af892dbeccf417aa1c078754d3584d8764.png	(from https://www.gob.pe/coronavirus)
08:54:44	1878/1878	---M-Z	200	added ('OK')	image/x-icon	etag:%225f29e2d3-649%22	https://www.gob.pe/assets/favicons/favicon-ea9af20bd4a54d1aa86ee43cdb86e8acb45f9ed5f707d1bd0b60db870504489d.ico	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/assets/favicons/favicon-ea9af20bd4a54d1aa86ee43cdb86e8acb45f9ed5f707d1bd0b60db870504489d.ico	(from https://www.gob.pe/coronavirus)
08:54:45	10144/10144	---M-Z	200	added ('OK')	image/svg+xml	etag:%225f29e2d3-132c%22	https://www.gob.pe/assets/escudo_20180920_blanco-cc85efcecad1094918c6c0c2df9f1b114e04155eb46e811c466f0694817fd11f.svg	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/assets/escudo_20180920_blanco-cc85efcecad1094918c6c0c2df9f1b114e04155eb46e811c466f0694817fd11f.svg	(from https://www.gob.pe/coronavirus)
08:54:45	61773/61773	---MCZ	200	added ('OK')	text/html	etag:W/%225f29e3a0-f14d%22	https://www.gob.pe/	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/index.html	(from https://www.gob.pe/coronavirus)
08:54:45	10552/10552	---M-Z	200	added ('OK')	image/svg+xml	etag:%225f29e2d4-aa9%22	https://www.gob.pe/assets/logo_gobpe-a73393d10a652a60fc6262951f0d8332f33a29a576d86ff4baa3cc9cb5c248ff.svg	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/assets/logo_gobpe-a73393d10a652a60fc6262951f0d8332f33a29a576d86ff4baa3cc9cb5c248ff.svg	(from https://www.gob.pe/coronavirus)
08:54:45	60445/60445	---MCZ	200	added ('OK')	text/html	etag:W/%22e8e08cc8e0379240ce78c5889a3a7a9f%22	https://www.gob.pe/estado	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/estado.html	(from https://www.gob.pe/coronavirus)
08:54:46	112462/112462	---MCZ	200	added ('OK')	text/html	etag:W/%2206ad6de28ea52562c6d2fbe5295dac11%22	https://www.gob.pe/8784	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8784.html	(from https://www.gob.pe/coronavirus)
